Country,Year,Season,Bronze,Silver,Gold,Total points
TTO,1964,Summer,5,1,0,8
YUG,1964,Summer,2,11,2,45
MGL,1964,Summer,0,0,0,0
ZIM,1964,Summer,0,0,0,0
CRC,1964,Summer,0,0,0,0
MON,1964,Summer,0,0,0,0
MYA,1964,Summer,0,0,0,0
AHO,1964,Summer,0,0,0,0
VEN,1964,Summer,0,0,0,0
JAM,1964,Summer,0,0,0,0
LIE,1964,Summer,0,0,0,0
SRI,1964,Summer,0,0,0,0
MLI,1964,Summer,0,0,0,0
PAN,1964,Summer,0,0,0,0
HKG,1964,Summer,0,0,0,0
TPE,1964,Summer,0,0,0,0
BAH,1964,Summer,0,0,2,10
BER,1964,Summer,0,0,0,0
NIG,1964,Summer,0,0,0,0
SEN,1964,Summer,0,0,0,0
GUY,1964,Summer,0,0,0,0
CGO,1964,Summer,0,0,0,0
GRE,1964,Summer,0,0,0,0
CHI,1964,Summer,0,0,0,0
ISL,1964,Summer,0,0,0,0
NEP,1964,Summer,0,0,0,0
VNM,1964,Summer,0,0,0,0
CHA,1964,Summer,0,0,0,0
BOL,1964,Summer,0,0,0,0
LBR,1964,Summer,0,0,0,0
ALG,1964,Summer,0,0,0,0
CMR,1964,Summer,0,0,0,0
MAD,1964,Summer,0,0,0,0
DOM,1964,Summer,0,0,0,0
NOR,1968,Summer,0,2,4,26
CMR,1968,Summer,0,1,0,3
MEX,1968,Summer,3,3,3,27
SUD,1968,Summer,0,0,0,0
MAS,1968,Summer,0,0,0,0
NGR,1968,Summer,0,0,0,0
PHI,1968,Summer,0,0,0,0
JPN,1968,Summer,22,25,16,177
ARG,1968,Summer,2,0,0,2
LIB,1968,Summer,0,0,0,0
EGY,1968,Summer,0,0,0,0
FRA,1968,Summer,10,5,12,85
POR,1968,Summer,0,0,0,0
PER,1968,Summer,0,0,0,0
TUR,1968,Summer,0,0,2,10
ESA,1968,Summer,0,0,0,0
GBR,1968,Summer,5,5,9,65
NED,1968,Summer,1,7,6,52
GHA,1968,Summer,0,0,0,0
BUL,1968,Summer,3,21,2,76
FRG,1968,Summer,18,16,17,151
PUR,1968,Summer,0,0,0,0
URS,1968,Summer,64,63,65,578
PAN,1968,Summer,0,0,0,0
CRC,1968,Summer,0,0,0,0
MAR,1968,Summer,0,0,0,0
URU,1968,Summer,0,0,0,0
PAK,1968,Summer,0,0,13,65
FIN,1968,Summer,1,2,1,12
AUT,1968,Summer,3,2,0,9
SWE,1968,Summer,1,4,4,33
IRQ,1968,Summer,0,0,0,0
ESP,1968,Summer,0,0,0,0
ITA,1968,Summer,20,8,5,69
BAH,1968,Summer,0,0,0,0
GUA,1968,Summer,0,0,0,0
CUB,1968,Summer,0,10,0,30
ETH,1968,Summer,0,1,1,8
BRA,1968,Summer,3,1,0,6
TCH,1968,Summer,15,7,7,71
ROU,1968,Summer,9,9,5,61
GRE,1968,Summer,1,0,0,1
HUN,1968,Summer,29,20,32,249
USA,1968,Summer,35,32,99,626
AUS,1968,Summer,11,35,5,141
SUI,1968,Summer,10,3,0,19
POL,1968,Summer,30,2,5,61
GUY,1968,Summer,0,0,0,0
GDR,1968,Summer,19,20,13,144
KOR,1968,Summer,1,1,0,4
ECU,1968,Summer,0,0,0,0
DEN,1968,Summer,6,6,5,49
BIZ,1968,Summer,0,0,0,0
CAN,1968,Summer,4,3,3,28
YUG,1968,Summer,2,14,13,109
AHO,1968,Summer,0,0,0,0
NZL,1968,Summer,2,0,5,27
IRI,1968,Summer,2,1,2,15
COL,1968,Summer,0,0,0,0
TTO,1968,Summer,0,0,0,0
NCA,1968,Summer,0,0,0,0
KEN,1968,Summer,2,7,3,38
BOL,1968,Summer,0,0,0,0
THA,1968,Summer,0,0,0,0
CHI,1968,Summer,0,0,0,0
TUN,1968,Summer,1,0,1,6
AFG,1968,Summer,0,0,0,0
BEL,1968,Summer,2,1,0,5
MLI,1968,Summer,0,0,0,0
SYR,1968,Summer,0,0,0,0
IRL,1968,Summer,0,0,0,0
GUI,1968,Summer,0,0,0,0
ISR,1968,Summer,0,0,0,0
HON,1968,Summer,0,0,0,0
COD,1968,Summer,0,0,0,0
MON,1968,Summer,0,0,0,0
MGL,1968,Summer,3,1,0,6
BER,1968,Summer,0,0,0,0
LIE,1968,Summer,0,0,0,0
ISV,1968,Summer,0,0,0,0
VEN,1968,Summer,0,0,1,5
JAM,1968,Summer,0,1,0,3
VNM,1968,Summer,0,0,0,0
BAR,1968,Summer,0,0,0,0
SEN,1968,Summer,0,0,0,0
DOM,1968,Summer,0,0,0,0
TPE,1968,Summer,1,0,0,1
IND,1968,Summer,16,0,0,16
TAN,1968,Summer,0,0,0,0
SGP,1968,Summer,0,0,0,0
SLE,1968,Summer,0,0,0,0
HKG,1968,Summer,0,0,0,0
PAR,1968,Summer,0,0,0,0
NIG,1968,Summer,0,0,0,0
KUW,1968,Summer,0,0,0,0
INA,1968,Summer,0,0,0,0
CIV,1968,Summer,0,0,0,0
UGA,1968,Summer,1,1,0,4
LUX,1968,Summer,0,0,0,0
SMR,1968,Summer,0,0,0,0
ISL,1968,Summer,0,0,0,0
MLT,1968,Summer,0,0,0,0
MYA,1968,Summer,0,0,0,0
CHA,1968,Summer,0,0,0,0
ZAM,1968,Summer,0,0,0,0
SRI,1968,Summer,0,0,0,0
LBA,1968,Summer,0,0,0,0
ALG,1968,Summer,0,0,0,0
FIJ,1968,Summer,0,0,0,0
CAF,1968,Summer,0,0,0,0
SUR,1968,Summer,0,0,0,0
MAD,1968,Summer,0,0,0,0
NOR,1972,Summer,4,2,2,20
SUD,1972,Summer,0,0,0,0
NGR,1972,Summer,1,0,0,1
CHA,1972,Summer,0,0,0,0
TAN,1972,Summer,0,0,0,0
KUW,1972,Summer,0,0,0,0
EGY,1972,Summer,0,0,0,0
ETH,1972,Summer,2,0,0,2
URS,1972,Summer,60,47,107,736
JPN,1972,Summer,8,19,29,210
BRA,1972,Summer,2,0,0,2
GDR,1972,Summer,57,64,30,399
ARG,1972,Summer,0,1,0,3
ITA,1972,Summer,13,3,9,67
AUS,1972,Summer,2,7,11,78
SOM,1972,Summer,0,0,0,0
LIB,1972,Summer,0,1,0,3
USA,1972,Summer,43,59,69,565
FRA,1972,Summer,15,5,2,40
COL,1972,Summer,2,1,0,5
PER,1972,Summer,0,0,0,0
GBR,1972,Summer,12,9,8,79
CUB,1972,Summer,18,1,3,36
GHA,1972,Summer,1,0,0,1
URU,1972,Summer,0,0,0,0
POL,1972,Summer,11,8,27,170
IRI,1972,Summer,1,2,0,7
CAN,1972,Summer,9,2,0,15
FRG,1972,Summer,39,19,44,316
CMR,1972,Summer,0,0,0,0
UGA,1972,Summer,0,1,1,8
HUN,1972,Summer,25,46,10,213
PHI,1972,Summer,0,0,0,0
TOG,1972,Summer,0,0,0,0
AHO,1972,Summer,0,0,0,0
AUT,1972,Summer,2,1,0,5
SUI,1972,Summer,0,8,0,24
BEN,1972,Summer,0,0,0,0
ROU,1972,Summer,27,10,3,72
MEX,1972,Summer,0,1,0,3
DEN,1972,Summer,0,0,1,5
NED,1972,Summer,2,1,3,20
FIN,1972,Summer,6,1,3,24
TUR,1972,Summer,0,1,0,3
MAR,1972,Summer,0,0,0,0
KSA,1972,Summer,0,0,0,0
SWE,1972,Summer,8,10,4,58
POR,1972,Summer,0,0,0,0
YUG,1972,Summer,2,1,15,80
PUR,1972,Summer,0,0,0,0
TCH,1972,Summer,6,21,2,79
ALG,1972,Summer,0,0,0,0
INA,1972,Summer,0,0,0,0
PAK,1972,Summer,0,15,0,45
JAM,1972,Summer,1,0,0,1
ISR,1972,Summer,0,0,0,0
ESP,1972,Summer,1,0,0,1
ISV,1972,Summer,0,0,0,0
ESA,1972,Summer,0,0,0,0
MAS,1972,Summer,0,0,0,0
BER,1972,Summer,0,0,0,0
KEN,1972,Summer,4,3,5,38
BUL,1972,Summer,6,10,6,66
KOR,1972,Summer,0,1,0,3
SEN,1972,Summer,0,0,0,0
MAD,1972,Summer,0,0,0,0
LUX,1972,Summer,0,0,0,0
BEL,1972,Summer,0,2,0,6
NZL,1972,Summer,1,4,9,58
THA,1972,Summer,0,0,0,0
TTO,1972,Summer,0,0,0,0
AFG,1972,Summer,0,0,0,0
BOL,1972,Summer,0,0,0,0
PAN,1972,Summer,0,0,0,0
GUY,1972,Summer,0,0,0,0
GRE,1972,Summer,0,2,0,6
ISL,1972,Summer,0,0,0,0
MYA,1972,Summer,0,0,0,0
CIV,1972,Summer,0,0,0,0
IND,1972,Summer,14,0,0,14
MGL,1972,Summer,0,1,0,3
IRL,1972,Summer,0,0,0,0
LIE,1972,Summer,0,0,0,0
VEN,1972,Summer,0,0,0,0
CHI,1972,Summer,0,0,0,0
MON,1972,Summer,0,0,0,0
BAH,1972,Summer,0,0,0,0
CGO,1972,Summer,0,0,0,0
BAR,1972,Summer,0,0,0,0
TUN,1972,Summer,0,1,0,3
DOM,1972,Summer,0,0,0,0
MLT,1972,Summer,0,0,0,0
BUR,1972,Summer,0,0,0,0
SUR,1972,Summer,0,0,0,0
GUA,1972,Summer,0,0,0,0
MLI,1972,Summer,0,0,0,0
NCA,1972,Summer,0,0,0,0
SMR,1972,Summer,0,0,0,0
CRC,1972,Summer,0,0,0,0
HKG,1972,Summer,0,0,0,0
SGP,1972,Summer,0,0,0,0
TPE,1972,Summer,0,0,0,0
HAI,1972,Summer,0,0,0,0
CAM,1972,Summer,0,0,0,0
ZAM,1972,Summer,0,0,0,0
MAW,1972,Summer,0,0,0,0
NIG,1972,Summer,1,0,0,1
ECU,1972,Summer,0,0,0,0
SYR,1972,Summer,0,0,0,0
PAR,1972,Summer,0,0,0,0
SRI,1972,Summer,0,0,0,0
PRK,1972,Summer,13,1,1,21
VNM,1972,Summer,0,0,0,0
LBR,1972,Summer,0,0,0,0
NEP,1972,Summer,0,0,0,0
ALB,1972,Summer,0,0,0,0
SWZ,1972,Summer,0,0,0,0
GAB,1972,Summer,0,0,0,0
LES,1972,Summer,0,0,0,0
BIZ,1972,Summer,0,0,0,0
FIJ,1972,Summer,0,0,0,0
FRA,1976,Summer,8,7,5,54
ESP,1976,Summer,0,6,0,18
NCA,1976,Summer,0,0,0,0
KUW,1976,Summer,0,0,0,0
CAN,1976,Summer,14,9,0,41
EGY,1976,Summer,0,0,0,0
TUN,1976,Summer,0,0,0,0
IRI,1976,Summer,1,1,0,4
JPN,1976,Summer,10,6,25,153
BRA,1976,Summer,3,0,0,3
ARG,1976,Summer,0,0,0,0
BUL,1976,Summer,18,13,8,97
NED,1976,Summer,12,2,0,18
GBR,1976,Summer,11,15,6,86
PAN,1976,Summer,0,0,0,0
USA,1976,Summer,36,58,70,560
CUB,1976,Summer,14,4,6,56
PAR,1976,Summer,0,0,0,0
POR,1976,Summer,0,2,0,6
URS,1976,Summer,77,95,114,932
NZL,1976,Summer,9,1,15,87
TCH,1976,Summer,9,4,2,31
AUS,1976,Summer,8,15,0,53
GDR,1976,Summer,42,51,102,705
POL,1976,Summer,26,29,18,203
TTO,1976,Summer,0,0,1,5
SUI,1976,Summer,6,3,1,20
ROU,1976,Summer,23,28,4,127
FRG,1976,Summer,32,25,21,212
GRE,1976,Summer,0,0,0,0
MEX,1976,Summer,1,0,1,6
MAS,1976,Summer,0,0,0,0
FIN,1976,Summer,0,2,4,26
TUR,1976,Summer,0,0,0,0
KSA,1976,Summer,0,0,0,0
BEL,1976,Summer,6,3,0,15
ITA,1976,Summer,4,25,2,89
SWE,1976,Summer,0,1,9,48
URU,1976,Summer,0,0,0,0
YUG,1976,Summer,3,14,2,55
COL,1976,Summer,0,0,0,0
ISL,1976,Summer,0,0,0,0
IND,1976,Summer,0,0,0,0
PAK,1976,Summer,16,0,0,16
JAM,1976,Summer,0,1,1,8
PHI,1976,Summer,0,0,0,0
CRC,1976,Summer,0,0,0,0
PUR,1976,Summer,1,0,0,1
HUN,1976,Summer,35,6,14,123
DOM,1976,Summer,0,0,0,0
NOR,1976,Summer,0,4,2,22
PRK,1976,Summer,0,1,1,8
KOR,1976,Summer,15,1,1,23
DEN,1976,Summer,5,0,3,20
GUA,1976,Summer,0,0,0,0
ISV,1976,Summer,0,0,0,0
VEN,1976,Summer,0,1,0,3
THA,1976,Summer,1,0,0,1
AUT,1976,Summer,1,0,0,1
CIV,1976,Summer,0,0,0,0
SEN,1976,Summer,0,0,0,0
MAR,1976,Summer,0,0,0,0
MGL,1976,Summer,0,1,0,3
ISR,1976,Summer,0,0,0,0
MON,1976,Summer,0,0,0,0
BER,1976,Summer,1,0,0,1
LUX,1976,Summer,0,0,0,0
SUR,1976,Summer,0,0,0,0
LIE,1976,Summer,0,0,0,0
IRL,1976,Summer,0,0,0,0
BAH,1976,Summer,0,0,0,0
PER,1976,Summer,0,0,0,0
SMR,1976,Summer,0,0,0,0
HKG,1976,Summer,0,0,0,0
HAI,1976,Summer,0,0,0,0
SGP,1976,Summer,0,0,0,0
ANT,1976,Summer,0,0,0,0
BAR,1976,Summer,0,0,0,0
PNG,1976,Summer,0,0,0,0
ECU,1976,Summer,0,0,0,0
AND,1976,Summer,0,0,0,0
CHI,1976,Summer,0,0,0,0
LIB,1976,Summer,0,0,0,0
AHO,1976,Summer,0,0,0,0
HON,1976,Summer,0,0,0,0
BOL,1976,Summer,0,0,0,0
INA,1976,Summer,0,0,0,0
CAY,1976,Summer,0,0,0,0
CMR,1976,Summer,0,0,0,0
NEP,1976,Summer,0,0,0,0
FIJ,1976,Summer,0,0,0,0
BIZ,1976,Summer,0,0,0,0
ESP,1980,Summer,3,19,2,70
URS,1980,Summer,126,129,187,1448
ITA,1980,Summer,8,21,8,111
KUW,1980,Summer,0,0,0,0
ALG,1980,Summer,0,0,0,0
IRQ,1980,Summer,0,0,0,0
SYR,1980,Summer,0,0,0,0
LBA,1980,Summer,0,0,0,0
CGO,1980,Summer,0,0,0,0
BUL,1980,Summer,38,44,8,210
BEN,1980,Summer,0,0,0,0
GBR,1980,Summer,24,18,5,103
POL,1980,Summer,22,25,3,112
CUB,1980,Summer,5,7,8,66
POR,1980,Summer,0,0,0,0
VEN,1980,Summer,0,1,0,3
TCH,1980,Summer,16,18,17,155
TTO,1980,Summer,0,0,0,0
AUS,1980,Summer,5,2,6,41
SWE,1980,Summer,9,8,3,48
NED,1980,Summer,5,1,0,8
NGR,1980,Summer,0,0,0,0
BRA,1980,Summer,5,0,4,25
MGL,1980,Summer,2,2,0,8
SUI,1980,Summer,0,0,2,10
SEY,1980,Summer,0,0,0,0
FRA,1980,Summer,6,5,18,111
MLT,1980,Summer,0,0,0,0
GUI,1980,Summer,0,0,0,0
CRC,1980,Summer,0,0,0,0
CMR,1980,Summer,0,0,0,0
IND,1980,Summer,0,0,16,80
FIN,1980,Summer,5,1,3,23
SLE,1980,Summer,0,0,0,0
UGA,1980,Summer,0,1,0,3
AFG,1980,Summer,0,0,0,0
LIB,1980,Summer,1,0,0,1
BEL,1980,Summer,0,0,1,5
JAM,1980,Summer,3,0,0,3
YUG,1980,Summer,17,27,13,163
ETH,1980,Summer,2,0,2,12
GRE,1980,Summer,4,0,1,9
AUT,1980,Summer,1,3,1,15
MOZ,1980,Summer,0,0,0,0
COL,1980,Summer,0,0,0,0
NCA,1980,Summer,0,0,0,0
TAN,1980,Summer,0,2,0,6
HUN,1980,Summer,40,13,8,119
MEX,1980,Summer,9,1,0,12
GDR,1980,Summer,61,88,115,900
ROU,1980,Summer,46,15,7,126
MAD,1980,Summer,0,0,0,0
GUY,1980,Summer,1,0,0,1
CYP,1980,Summer,0,0,0,0
ECU,1980,Summer,0,0,0,0
PER,1980,Summer,0,0,0,0
SEN,1980,Summer,0,0,0,0
ZAM,1980,Summer,0,0,0,0
DEN,1980,Summer,2,2,4,28
NEP,1980,Summer,0,0,0,0
IRL,1980,Summer,1,2,0,7
ISL,1980,Summer,0,0,0,0
LAO,1980,Summer,0,0,0,0
LUX,1980,Summer,0,0,0,0
ANG,1980,Summer,0,0,0,0
ZIM,1980,Summer,0,0,15,75
SMR,1980,Summer,0,0,0,0
DOM,1980,Summer,0,0,0,0
PRK,1980,Summer,2,3,0,11
BOT,1980,Summer,0,0,0,0
VIE,1980,Summer,0,0,0,0
GUA,1980,Summer,0,0,0,0
SRI,1980,Summer,0,0,0,0
MLI,1980,Summer,0,0,0,0
NZL,1980,Summer,0,0,0,0
AND,1980,Summer,0,0,0,0
LES,1980,Summer,0,0,0,0
JOR,1980,Summer,0,0,0,0
PUR,1980,Summer,0,0,0,0
MYA,1980,Summer,0,0,0,0
NED,1984,Summer,14,7,20,135
ESP,1984,Summer,3,14,2,55
CHI,1984,Summer,0,0,0,0
ITA,1984,Summer,28,6,29,191
MAS,1984,Summer,0,0,0,0
JOR,1984,Summer,0,0,0,0
EGY,1984,Summer,0,1,0,3
CAN,1984,Summer,32,36,19,235
KSA,1984,Summer,0,0,0,0
BRN,1984,Summer,0,0,0,0
UAE,1984,Summer,0,0,0,0
JPN,1984,Summer,31,8,10,105
CMR,1984,Summer,1,0,0,1
FRA,1984,Summer,31,16,20,179
BEN,1984,Summer,0,0,0,0
ALG,1984,Summer,2,0,0,2
IRQ,1984,Summer,0,0,0,0
IND,1984,Summer,0,0,0,0
CRC,1984,Summer,0,0,0,0
USA,1984,Summer,50,116,186,1328
BRA,1984,Summer,2,33,1,106
KUW,1984,Summer,0,0,0,0
AUS,1984,Summer,31,14,7,108
MEX,1984,Summer,1,3,2,20
UGA,1984,Summer,0,0,0,0
ECU,1984,Summer,0,0,0,0
NZL,1984,Summer,6,1,16,89
KEN,1984,Summer,2,0,1,7
DOM,1984,Summer,1,0,0,1
JAM,1984,Summer,2,5,0,17
GHA,1984,Summer,0,0,0,0
NGR,1984,Summer,4,1,0,7
SOM,1984,Summer,0,0,0,0
CIV,1984,Summer,0,1,0,3
SWE,1984,Summer,13,18,3,82
MON,1984,Summer,0,0,0,0
INA,1984,Summer,0,0,0,0
ISL,1984,Summer,1,0,0,1
MAR,1984,Summer,0,0,2,10
ROU,1984,Summer,35,31,40,328
MLT,1984,Summer,0,0,0,0
LUX,1984,Summer,0,0,0,0
FRG,1984,Summer,53,75,30,428
PUR,1984,Summer,1,1,0,4
CYP,1984,Summer,0,0,0,0
ARG,1984,Summer,0,0,0,0
PAN,1984,Summer,0,0,0,0
NOR,1984,Summer,3,1,0,6
QAT,1984,Summer,0,0,0,0
PAK,1984,Summer,0,0,16,80
SYR,1984,Summer,0,1,0,3
GBR,1984,Summer,42,20,9,147
TUR,1984,Summer,3,0,0,3
SUD,1984,Summer,0,0,0,0
FIN,1984,Summer,6,2,4,32
OMA,1984,Summer,0,0,0,0
YAR,1984,Summer,0,0,0,0
GRE,1984,Summer,1,1,0,4
NIG,1984,Summer,0,0,0,0
GUA,1984,Summer,0,0,0,0
TUN,1984,Summer,0,0,0,0
PER,1984,Summer,0,1,0,3
THA,1984,Summer,0,1,0,3
CAF,1984,Summer,0,0,0,0
VEN,1984,Summer,3,0,0,3
ISR,1984,Summer,0,0,0,0
SUI,1984,Summer,4,9,0,31
TAN,1984,Summer,0,0,0,0
KOR,1984,Summer,7,28,6,121
YUG,1984,Summer,35,5,47,285
DEN,1984,Summer,10,3,0,19
MRI,1984,Summer,0,0,0,0
SGP,1984,Summer,0,0,0,0
POR,1984,Summer,2,0,1,7
BEL,1984,Summer,2,2,1,13
COL,1984,Summer,0,1,0,3
TTO,1984,Summer,0,0,0,0
AUT,1984,Summer,1,1,1,9
LIB,1984,Summer,0,0,0,0
BOL,1984,Summer,0,0,0,0
FIJ,1984,Summer,0,0,0,0
PHI,1984,Summer,0,0,0,0
SOL,1984,Summer,0,0,0,0
SAM,1984,Summer,0,0,0,0
HON,1984,Summer,0,0,0,0
MAW,1984,Summer,0,0,0,0
CHN,1984,Summer,37,13,24,196
SEN,1984,Summer,0,0,0,0
COD,1984,Summer,0,0,0,0
BOT,1984,Summer,0,0,0,0
IVB,1984,Summer,0,0,0,0
GUY,1984,Summer,0,0,0,0
GRN,1984,Summer,0,0,0,0
BAR,1984,Summer,0,0,0,0
AHO,1984,Summer,0,0,0,0
CGO,1984,Summer,0,0,0,0
SLE,1984,Summer,0,0,0,0
ANT,1984,Summer,0,0,0,0
PAR,1984,Summer,0,0,0,0
ISV,1984,Summer,0,0,0,0
MAD,1984,Summer,0,0,0,0
CAY,1984,Summer,0,0,0,0
TOG,1984,Summer,0,0,0,0
SRI,1984,Summer,0,0,0,0
SMR,1984,Summer,0,0,0,0
SEY,1984,Summer,0,0,0,0
GEQ,1984,Summer,0,0,0,0
PNG,1984,Summer,0,0,0,0
LIE,1984,Summer,0,0,0,0
BER,1984,Summer,0,0,0,0
RWA,1984,Summer,0,0,0,0
ESA,1984,Summer,0,0,0,0
IRL,1984,Summer,0,1,0,3
GAM,1984,Summer,0,0,0,0
NCA,1984,Summer,0,0,0,0
TPE,1984,Summer,1,0,0,1
DJI,1984,Summer,0,0,0,0
BIZ,1984,Summer,0,0,0,0
HKG,1984,Summer,0,0,0,0
BHU,1984,Summer,0,0,0,0
ZAM,1984,Summer,1,0,0,1
ZIM,1984,Summer,0,0,0,0
MOZ,1984,Summer,0,0,0,0
BAH,1984,Summer,0,0,0,0
SUR,1984,Summer,0,0,0,0
LBR,1984,Summer,0,0,0,0
BAN,1984,Summer,0,0,0,0
GUI,1984,Summer,0,0,0,0
MTN,1984,Summer,0,0,0,0
MLI,1984,Summer,0,0,0,0
CHA,1984,Summer,0,0,0,0
SWZ,1984,Summer,0,0,0,0
URU,1984,Summer,0,0,0,0
HAI,1984,Summer,0,0,0,0
AND,1984,Summer,0,0,0,0
NEP,1984,Summer,0,0,0,0
TGA,1984,Summer,0,0,0,0
MYA,1984,Summer,0,0,0,0
GAB,1984,Summer,0,0,0,0
LES,1984,Summer,0,0,0,0
NED,1988,Summer,36,6,3,69
BUL,1988,Summer,17,14,10,109
ITA,1988,Summer,8,10,11,93
LIB,1988,Summer,0,0,0,0
EGY,1988,Summer,0,0,0,0
ALG,1988,Summer,0,0,0,0
DJI,1988,Summer,1,0,0,1
MDV,1988,Summer,0,0,0,0
YAR,1988,Summer,0,0,0,0
UAE,1988,Summer,0,0,0,0
NGR,1988,Summer,0,0,0,0
KUW,1988,Summer,0,0,0,0
URS,1988,Summer,99,67,134,970
JPN,1988,Summer,13,3,4,42
ESP,1988,Summer,2,2,1,13
SWE,1988,Summer,11,5,0,26
GDR,1988,Summer,48,54,79,605
TUN,1988,Summer,0,0,0,0
IRQ,1988,Summer,0,0,0,0
NIG,1988,Summer,0,0,0,0
LBA,1988,Summer,0,0,0,0
HUN,1988,Summer,15,9,20,142
IND,1988,Summer,0,0,0,0
GUY,1988,Summer,0,0,0,0
POR,1988,Summer,0,0,1,5
FRA,1988,Summer,13,4,12,85
USA,1988,Summer,54,66,87,687
FRG,1988,Summer,46,37,32,317
KEN,1988,Summer,2,2,5,33
JOR,1988,Summer,0,0,0,0
URU,1988,Summer,0,0,0,0
MAR,1988,Summer,2,0,1,7
CMR,1988,Summer,0,0,0,0
UGA,1988,Summer,0,0,0,0
BRA,1988,Summer,5,17,1,61
MEX,1988,Summer,2,0,0,2
MTN,1988,Summer,0,0,0,0
TCH,1988,Summer,3,4,3,30
VIN,1988,Summer,0,0,0,0
GBR,1988,Summer,15,17,22,176
PUR,1988,Summer,0,0,0,0
AUS,1988,Summer,11,6,18,119
JAM,1988,Summer,0,7,0,21
PHI,1988,Summer,1,0,0,1
SOM,1988,Summer,0,0,0,0
GHA,1988,Summer,0,0,0,0
ARG,1988,Summer,12,1,0,15
INA,1988,Summer,0,3,0,9
SUI,1988,Summer,2,6,0,20
IRI,1988,Summer,0,1,0,3
PAK,1988,Summer,1,0,0,1
HAI,1988,Summer,0,0,0,0
MLT,1988,Summer,0,0,0,0
TOG,1988,Summer,0,0,0,0
CRC,1988,Summer,0,1,0,3
CHI,1988,Summer,0,1,0,3
YMD,1988,Summer,0,0,0,0
FIN,1988,Summer,2,1,1,10
TUR,1988,Summer,0,1,1,8
TAN,1988,Summer,0,0,0,0
KSA,1988,Summer,0,0,0,0
SYR,1988,Summer,0,0,0,0
OMA,1988,Summer,0,0,0,0
BRN,1988,Summer,0,0,0,0
QAT,1988,Summer,0,0,0,0
BAN,1988,Summer,0,0,0,0
BEN,1988,Summer,0,0,0,0
COL,1988,Summer,1,0,0,1
CAN,1988,Summer,14,5,4,49
DOM,1988,Summer,0,0,0,0
GRE,1988,Summer,1,0,0,1
BER,1988,Summer,0,0,0,0
SAM,1988,Summer,0,0,0,0
NOR,1988,Summer,0,20,2,70
PER,1988,Summer,0,12,0,36
MAS,1988,Summer,0,0,0,0
CAF,1988,Summer,0,0,0,0
YUG,1988,Summer,21,27,15,177
ISR,1988,Summer,0,0,0,0
COD,1988,Summer,0,0,0,0
KOR,1988,Summer,12,37,28,263
GUM,1988,Summer,0,0,0,0
NZL,1988,Summer,16,4,4,48
ROU,1988,Summer,16,34,8,158
SGP,1988,Summer,0,0,0,0
HON,1988,Summer,0,0,0,0
SUD,1988,Summer,0,0,0,0
AUT,1988,Summer,0,0,1,5
BEL,1988,Summer,2,0,0,2
GUA,1988,Summer,0,0,0,0
ISL,1988,Summer,0,0,0,0
MOZ,1988,Summer,0,0,0,0
LUX,1988,Summer,0,0,0,0
IVB,1988,Summer,0,0,0,0
FIJ,1988,Summer,0,0,0,0
SUR,1988,Summer,0,0,1,5
BAR,1988,Summer,0,0,0,0
SEN,1988,Summer,0,1,0,3
HKG,1988,Summer,0,0,0,0
PNG,1988,Summer,0,0,0,0
ESA,1988,Summer,0,0,0,0
MGL,1988,Summer,1,0,0,1
CYP,1988,Summer,0,0,0,0
CIV,1988,Summer,0,0,0,0
MAW,1988,Summer,0,0,0,0
GUI,1988,Summer,0,0,0,0
CAY,1988,Summer,0,0,0,0
ISV,1988,Summer,0,1,0,3
ZIM,1988,Summer,0,0,0,0
POL,1988,Summer,10,9,2,47
DEN,1988,Summer,3,1,3,21
ANG,1988,Summer,0,0,0,0
NEP,1988,Summer,0,0,0,0
LIE,1988,Summer,0,0,0,0
MON,1988,Summer,0,0,0,0
SOL,1988,Summer,0,0,0,0
BOL,1988,Summer,0,0,0,0
BIZ,1988,Summer,0,0,0,0
CGO,1988,Summer,0,0,0,0
SMR,1988,Summer,0,0,0,0
CHN,1988,Summer,30,16,6,108
LBR,1988,Summer,0,0,0,0
PAR,1988,Summer,0,0,0,0
VEN,1988,Summer,0,0,0,0
SRI,1988,Summer,0,0,0,0
GEQ,1988,Summer,0,0,0,0
GAB,1988,Summer,0,0,0,0
