Country,Year,Season,Bronze,Silver,Gold,Total points
ANT,1988,Summer,0,0,0,0
IRL,1988,Summer,0,0,0,0
ZAM,1988,Summer,0,0,0,0
MLI,1988,Summer,0,0,0,0
ECU,1988,Summer,0,0,0,0
TPE,1988,Summer,0,0,0,0
THA,1988,Summer,1,0,0,1
TTO,1988,Summer,0,0,0,0
MRI,1988,Summer,0,0,0,0
GRN,1988,Summer,0,0,0,0
BAH,1988,Summer,0,0,0,0
AFG,1988,Summer,0,0,0,0
GAM,1988,Summer,0,0,0,0
VAN,1988,Summer,0,0,0,0
VIE,1988,Summer,0,0,0,0
PAN,1988,Summer,0,0,0,0
SWZ,1988,Summer,0,0,0,0
SLE,1988,Summer,0,0,0,0
BHU,1988,Summer,0,0,0,0
RWA,1988,Summer,0,0,0,0
ASA,1988,Summer,0,0,0,0
TGA,1988,Summer,0,0,0,0
ARU,1988,Summer,0,0,0,0
CHA,1988,Summer,0,0,0,0
BOT,1988,Summer,0,0,0,0
AND,1988,Summer,0,0,0,0
AHO,1988,Summer,0,1,0,3
BUR,1988,Summer,0,0,0,0
COK,1988,Summer,0,0,0,0
LES,1988,Summer,0,0,0,0
MYA,1988,Summer,0,0,0,0
LAO,1988,Summer,0,0,0,0
CHN,1992,Summer,19,45,18,244
FIN,1992,Summer,2,4,1,19
NOR,1992,Summer,1,20,2,71
EST,1992,Summer,2,0,1,7
CHA,1992,Summer,0,0,0,0
CUB,1992,Summer,14,13,42,263
CHI,1992,Summer,0,0,0,0
AUS,1992,Summer,16,27,14,167
PAK,1992,Summer,16,0,0,16
EGY,1992,Summer,0,0,0,0
ALG,1992,Summer,1,0,1,6
QAT,1992,Summer,1,0,0,1
DJI,1992,Summer,0,0,0,0
MAS,1992,Summer,2,0,0,2
IRQ,1992,Summer,0,0,0,0
KUW,1992,Summer,0,0,0,0
SGP,1992,Summer,0,0,0,0
EUN,1992,Summer,67,61,92,710
JPN,1992,Summer,36,8,3,75
ETH,1992,Summer,2,0,1,7
ESP,1992,Summer,2,19,48,299
CIV,1992,Summer,0,0,0,0
IND,1992,Summer,0,0,0,0
MAR,1992,Summer,1,1,1,9
POR,1992,Summer,0,0,0,0
PUR,1992,Summer,1,0,0,1
COL,1992,Summer,1,0,0,1
GHA,1992,Summer,20,0,0,20
MEX,1992,Summer,0,1,0,3
SEY,1992,Summer,0,0,0,0
GBR,1992,Summer,39,3,8,88
KEN,1992,Summer,2,4,2,24
TCH,1992,Summer,1,3,4,30
GER,1992,Summer,60,57,81,636
USA,1992,Summer,85,50,89,680
FRA,1992,Summer,43,5,9,103
RSA,1992,Summer,0,3,0,9
NGR,1992,Summer,4,7,0,25
BRA,1992,Summer,0,1,13,68
SWE,1992,Summer,7,27,1,93
SUI,1992,Summer,0,0,1,5
IRI,1992,Summer,2,1,0,5
BEN,1992,Summer,0,0,0,0
HUN,1992,Summer,8,23,14,147
PAN,1992,Summer,0,0,0,0
ARG,1992,Summer,2,0,0,2
NCA,1992,Summer,0,0,0,0
TOG,1992,Summer,0,0,0,0
LBA,1992,Summer,0,0,0,0
MTN,1992,Summer,0,0,0,0
ITA,1992,Summer,14,10,21,149
UAE,1992,Summer,0,0,0,0
BRN,1992,Summer,0,0,0,0
OMA,1992,Summer,0,0,0,0
SYR,1992,Summer,0,0,0,0
KSA,1992,Summer,0,0,0,0
YEM,1992,Summer,0,0,0,0
JOR,1992,Summer,0,0,0,0
IOA,1992,Summer,2,1,0,5
CAN,1992,Summer,12,5,27,162
POL,1992,Summer,19,22,5,110
BUL,1992,Summer,7,7,3,43
ISV,1992,Summer,0,0,0,0
SAM,1992,Summer,0,0,0,0
BAR,1992,Summer,0,0,0,0
GUM,1992,Summer,0,0,0,0
PHI,1992,Summer,1,0,0,1
PAR,1992,Summer,0,0,0,0
CRC,1992,Summer,0,0,0,0
PER,1992,Summer,0,1,0,3
CAF,1992,Summer,0,0,0,0
SLE,1992,Summer,0,0,0,0
BAN,1992,Summer,0,0,0,0
SRI,1992,Summer,0,0,0,0
SMR,1992,Summer,0,0,0,0
ISR,1992,Summer,1,1,0,4
MDV,1992,Summer,0,0,0,0
COD,1992,Summer,0,0,0,0
AUT,1992,Summer,0,6,0,18
KOR,1992,Summer,16,5,28,171
PRK,1992,Summer,6,0,4,26
DEN,1992,Summer,9,2,3,30
NZL,1992,Summer,5,9,1,37
ISL,1992,Summer,0,0,0,0
ROU,1992,Summer,14,31,8,147
INA,1992,Summer,1,3,2,20
GEQ,1992,Summer,0,0,0,0
BOL,1992,Summer,0,0,0,0
BEL,1992,Summer,2,1,0,5
ANT,1992,Summer,0,0,0,0
DOM,1992,Summer,0,0,0,0
NED,1992,Summer,8,20,5,93
GRE,1992,Summer,0,0,2,10
LIB,1992,Summer,0,0,0,0
SUR,1992,Summer,1,0,0,1
TUR,1992,Summer,2,2,2,18
SOL,1992,Summer,0,0,0,0
SEN,1992,Summer,0,0,0,0
HKG,1992,Summer,0,0,0,0
GUA,1992,Summer,0,0,0,0
CYP,1992,Summer,0,0,0,0
PNG,1992,Summer,0,0,0,0
MGL,1992,Summer,2,0,0,2
LTU,1992,Summer,12,0,1,17
GUI,1992,Summer,0,0,0,0
CRO,1992,Summer,3,12,0,39
CAY,1992,Summer,0,0,0,0
HON,1992,Summer,0,0,0,0
TUN,1992,Summer,0,0,0,0
LAT,1992,Summer,1,2,0,7
IRL,1992,Summer,0,1,1,8
AND,1992,Summer,0,0,0,0
SLO,1992,Summer,6,0,0,6
CGO,1992,Summer,0,0,0,0
ALB,1992,Summer,0,0,0,0
JAM,1992,Summer,1,3,0,10
LIE,1992,Summer,0,0,0,0
FIJ,1992,Summer,0,0,0,0
TTO,1992,Summer,0,0,0,0
THA,1992,Summer,1,0,0,1
GAB,1992,Summer,0,0,0,0
BER,1992,Summer,0,0,0,0
ASA,1992,Summer,0,0,0,0
BIH,1992,Summer,0,0,0,0
TAN,1992,Summer,0,0,0,0
ZAM,1992,Summer,0,0,0,0
ECU,1992,Summer,0,0,0,0
ANG,1992,Summer,0,0,0,0
GUY,1992,Summer,0,0,0,0
MLT,1992,Summer,0,0,0,0
BIZ,1992,Summer,0,0,0,0
TPE,1992,Summer,0,20,0,60
URU,1992,Summer,0,0,0,0
ZIM,1992,Summer,0,0,0,0
MRI,1992,Summer,0,0,0,0
LUX,1992,Summer,0,0,0,0
VIN,1992,Summer,0,0,0,0
MLI,1992,Summer,0,0,0,0
NAM,1992,Summer,0,2,0,6
AHO,1992,Summer,0,0,0,0
BAH,1992,Summer,1,0,0,1
VIE,1992,Summer,0,0,0,0
VEN,1992,Summer,0,0,0,0
MON,1992,Summer,0,0,0,0
ARU,1992,Summer,0,0,0,0
BOT,1992,Summer,0,0,0,0
SWZ,1992,Summer,0,0,0,0
SUD,1992,Summer,0,0,0,0
MOZ,1992,Summer,0,0,0,0
GRN,1992,Summer,0,0,0,0
VAN,1992,Summer,0,0,0,0
BUR,1992,Summer,0,0,0,0
IVB,1992,Summer,0,0,0,0
HAI,1992,Summer,0,0,0,0
ESA,1992,Summer,0,0,0,0
NIG,1992,Summer,0,0,0,0
GAM,1992,Summer,0,0,0,0
BHU,1992,Summer,0,0,0,0
CMR,1992,Summer,0,0,0,0
LAO,1992,Summer,0,0,0,0
MYA,1992,Summer,0,0,0,0
TGA,1992,Summer,0,0,0,0
UGA,1992,Summer,0,0,0,0
LES,1992,Summer,0,0,0,0
RWA,1992,Summer,0,0,0,0
MAW,1992,Summer,0,0,0,0
COK,1992,Summer,0,0,0,0
MAD,1992,Summer,0,0,0,0
NEP,1992,Summer,0,0,0,0
FIN,1996,Summer,1,2,1,12
ARG,1996,Summer,1,19,0,58
NED,1996,Summer,26,9,38,243
NOR,1996,Summer,18,3,2,37
EST,1996,Summer,0,0,0,0
TUR,1996,Summer,1,1,4,24
ESP,1996,Summer,22,21,23,200
ITA,1996,Summer,28,24,19,195
PAK,1996,Summer,0,0,0,0
CAN,1996,Summer,12,30,8,142
EGY,1996,Summer,0,0,0,0
LBA,1996,Summer,0,0,0,0
QAT,1996,Summer,0,0,0,0
COM,1996,Summer,0,0,0,0
CHA,1996,Summer,0,0,0,0
MAS,1996,Summer,1,2,0,7
BRU,1996,Summer,0,0,0,0
UAE,1996,Summer,0,0,0,0
SGP,1996,Summer,0,0,0,0
AZE,1996,Summer,0,1,0,3
UZB,1996,Summer,1,1,0,4
JPN,1996,Summer,13,26,3,106
CMR,1996,Summer,0,0,0,0
ALG,1996,Summer,1,0,2,11
CIV,1996,Summer,0,0,0,0
GHA,1996,Summer,0,0,0,0
USA,1996,Summer,52,48,159,991
IND,1996,Summer,1,0,0,1
GEO,1996,Summer,2,0,0,2
SLO,1996,Summer,0,2,0,6
POR,1996,Summer,2,0,1,7
FRA,1996,Summer,20,10,21,155
VEN,1996,Summer,0,0,0,0
PLE,1996,Summer,0,0,0,0
KAZ,1996,Summer,4,4,3,31
MEX,1996,Summer,1,0,0,1
MAR,1996,Summer,2,0,0,2
UGA,1996,Summer,1,0,0,1
GER,1996,Summer,47,35,42,362
SUD,1996,Summer,0,0,0,0
GRE,1996,Summer,0,4,4,32
AUS,1996,Summer,84,16,32,292
SOM,1996,Summer,0,0,0,0
NGR,1996,Summer,3,4,17,100
SUR,1996,Summer,0,0,0,0
ETH,1996,Summer,1,0,2,11
SYR,1996,Summer,0,0,1,5
PUR,1996,Summer,1,0,0,1
BRA,1996,Summer,43,15,5,113
UKR,1996,Summer,19,5,10,84
RUS,1996,Summer,34,45,36,349
CRO,1996,Summer,0,12,16,116
DMA,1996,Summer,0,0,0,0
HAI,1996,Summer,0,0,0,0
HUN,1996,Summer,26,9,8,93
TUN,1996,Summer,1,0,0,1
BEN,1996,Summer,0,0,0,0
CUB,1996,Summer,10,8,37,219
NCA,1996,Summer,0,0,0,0
KEN,1996,Summer,3,4,1,20
GBR,1996,Summer,9,15,2,64
IRQ,1996,Summer,0,0,0,0
MTN,1996,Summer,0,0,0,0
RSA,1996,Summer,1,1,3,19
BLR,1996,Summer,16,6,1,39
PNG,1996,Summer,0,0,0,0
TOG,1996,Summer,0,0,0,0
DEN,1996,Summer,1,1,21,109
KUW,1996,Summer,0,0,0,0
KSA,1996,Summer,0,0,0,0
BRN,1996,Summer,0,0,0,0
OMA,1996,Summer,0,0,0,0
YEM,1996,Summer,0,0,0,0
JOR,1996,Summer,0,0,0,0
BAN,1996,Summer,0,0,0,0
SWE,1996,Summer,5,23,3,89
DOM,1996,Summer,0,0,0,0
LTU,1996,Summer,11,0,0,11
KGZ,1996,Summer,0,0,0,0
ISR,1996,Summer,1,0,0,1
ISL,1996,Summer,0,0,0,0
DJI,1996,Summer,0,0,0,0
MDA,1996,Summer,1,2,0,7
IRL,1996,Summer,1,0,3,16
TTO,1996,Summer,2,0,0,2
GBS,1996,Summer,0,0,0,0
ROU,1996,Summer,15,10,13,110
SLE,1996,Summer,0,0,0,0
COD,1996,Summer,0,0,0,0
SMR,1996,Summer,0,0,0,0
MDV,1996,Summer,0,0,0,0
LAO,1996,Summer,0,0,0,0
KOR,1996,Summer,7,49,10,204
SOL,1996,Summer,0,0,0,0
NZL,1996,Summer,4,2,3,25
CPV,1996,Summer,0,0,0,0
CYP,1996,Summer,0,0,0,0
BUL,1996,Summer,6,12,3,57
HON,1996,Summer,0,0,0,0
SUI,1996,Summer,0,6,5,43
JAM,1996,Summer,12,3,1,26
CHN,1996,Summer,17,70,19,322
BEL,1996,Summer,2,2,2,18
COL,1996,Summer,0,0,0,0
CHI,1996,Summer,0,0,0,0
INA,1996,Summer,3,1,2,16
PER,1996,Summer,0,0,0,0
GEQ,1996,Summer,0,0,0,0
TKM,1996,Summer,0,0,0,0
IVB,1996,Summer,0,0,0,0
ARM,1996,Summer,0,1,1,8
SEY,1996,Summer,0,0,0,0
TPE,1996,Summer,0,1,0,3
STP,1996,Summer,0,0,0,0
CGO,1996,Summer,0,0,0,0
CZE,1996,Summer,4,5,4,39
SVK,1996,Summer,1,1,1,9
VIN,1996,Summer,0,0,0,0
BOT,1996,Summer,0,0,0,0
LCA,1996,Summer,0,0,0,0
POL,1996,Summer,7,8,7,66
CAY,1996,Summer,0,0,0,0
AND,1996,Summer,0,0,0,0
URU,1996,Summer,0,0,0,0
ANT,1996,Summer,0,0,0,0
SKN,1996,Summer,0,0,0,0
SCG,1996,Summer,13,12,1,54
PAN,1996,Summer,0,0,0,0
AUT,1996,Summer,2,1,0,5
PAR,1996,Summer,0,0,0,0
MGL,1996,Summer,1,0,0,1
BER,1996,Summer,0,0,0,0
MRI,1996,Summer,0,0,0,0
ISV,1996,Summer,0,0,0,0
BAH,1996,Summer,0,5,0,15
NAM,1996,Summer,0,2,0,6
ESA,1996,Summer,0,0,0,0
GUM,1996,Summer,0,0,0,0
LAT,1996,Summer,0,1,0,3
CAF,1996,Summer,0,0,0,0
ALB,1996,Summer,0,0,0,0
SRI,1996,Summer,0,0,0,0
ANG,1996,Summer,0,0,0,0
ZIM,1996,Summer,0,0,0,0
LIE,1996,Summer,0,0,0,0
GUA,1996,Summer,0,0,0,0
NEP,1996,Summer,0,0,0,0
FIJ,1996,Summer,0,0,0,0
MLT,1996,Summer,0,0,0,0
TJK,1996,Summer,0,0,0,0
MKD,1996,Summer,0,0,0,0
GAB,1996,Summer,0,0,0,0
CRC,1996,Summer,0,0,1,5
PHI,1996,Summer,0,1,0,3
GRN,1996,Summer,0,0,0,0
ASA,1996,Summer,0,0,0,0
ECU,1996,Summer,0,0,1,5
BOL,1996,Summer,0,0,0,0
MLI,1996,Summer,0,0,0,0
VIE,1996,Summer,0,0,0,0
HKG,1996,Summer,0,0,1,5
THA,1996,Summer,1,0,1,6
PRK,1996,Summer,2,1,2,15
ZAM,1996,Summer,0,1,0,3
LIB,1996,Summer,0,0,0,0
LBR,1996,Summer,0,0,0,0
BAR,1996,Summer,0,0,0,0
AHO,1996,Summer,0,0,0,0
BIH,1996,Summer,0,0,0,0
NRU,1996,Summer,0,0,0,0
SEN,1996,Summer,0,0,0,0
GUI,1996,Summer,0,0,0,0
MON,1996,Summer,0,0,0,0
ARU,1996,Summer,0,0,0,0
GUY,1996,Summer,0,0,0,0
LUX,1996,Summer,0,0,0,0
GAM,1996,Summer,0,0,0,0
IRI,1996,Summer,1,1,1,9
BIZ,1996,Summer,0,0,0,0
BDI,1996,Summer,0,0,1,5
SAM,1996,Summer,0,0,0,0
AFG,1996,Summer,0,0,0,0
TGA,1996,Summer,0,1,0,3
CAM,1996,Summer,0,0,0,0
TAN,1996,Summer,0,0,0,0
MYA,1996,Summer,0,0,0,0
RWA,1996,Summer,0,0,0,0
VAN,1996,Summer,0,0,0,0
MOZ,1996,Summer,1,0,0,1
BHU,1996,Summer,0,0,0,0
BUR,1996,Summer,0,0,0,0
NIG,1996,Summer,0,0,0,0
LES,1996,Summer,0,0,0,0
SWZ,1996,Summer,0,0,0,0
MAW,1996,Summer,0,0,0,0
COK,1996,Summer,0,0,0,0
MAD,1996,Summer,0,0,0,0
FIN,2000,Summer,1,1,3,19
NOR,2000,Summer,19,4,20,131
NED,2000,Summer,23,29,27,245
EGY,2000,Summer,0,0,0,0
ARG,2000,Summer,3,17,0,54
CUB,2000,Summer,12,35,18,207
CMR,2000,Summer,0,0,18,90
MEX,2000,Summer,3,2,1,14
ITA,2000,Summer,29,14,22,181
PAK,2000,Summer,0,0,0,0
AZE,2000,Summer,1,0,2,11
CAN,2000,Summer,23,4,4,55
USA,2000,Summer,51,61,130,884
AUS,2000,Summer,54,69,60,561
KUW,2000,Summer,1,0,0,1
MAS,2000,Summer,0,0,0,0
BRU,2000,Summer,0,0,0,0
SUD,2000,Summer,0,0,0,0
BRN,2000,Summer,0,0,0,0
UZB,2000,Summer,2,1,1,10
JPN,2000,Summer,8,31,5,126
ESP,2000,Summer,20,19,3,92
ETH,2000,Summer,3,1,4,26
SRI,2000,Summer,0,1,0,3
SYR,2000,Summer,0,0,0,0
MAR,2000,Summer,4,1,0,7
SWE,2000,Summer,8,20,4,88
RUS,2000,Summer,54,67,66,585
JOR,2000,Summer,0,0,0,0
CHN,2000,Summer,17,23,39,281
GER,2000,Summer,64,23,31,288
GBR,2000,Summer,12,20,22,182
UGA,2000,Summer,0,0,0,0
SLO,2000,Summer,0,0,3,15
TUR,2000,Summer,2,0,3,17
RSA,2000,Summer,3,2,0,9
GHA,2000,Summer,0,0,0,0
ALG,2000,Summer,3,1,1,11
SUR,2000,Summer,0,0,0,0
SOM,2000,Summer,0,0,0,0
LBA,2000,Summer,0,0,0,0
FRA,2000,Summer,14,30,22,214
PLW,2000,Summer,0,0,0,0
LTU,2000,Summer,15,0,2,25
BRA,2000,Summer,36,12,0,72
UKR,2000,Summer,12,20,3,87
IRI,2000,Summer,1,0,3,16
NGR,2000,Summer,0,2,6,36
GRE,2000,Summer,8,6,4,46
CRO,2000,Summer,9,0,1,14
DMA,2000,Summer,0,0,0,0
DEN,2000,Summer,4,3,18,103
ANG,2000,Summer,0,0,0,0
IRQ,2000,Summer,0,0,0,0
MDV,2000,Summer,0,0,0,0
NZL,2000,Summer,3,0,1,8
PER,2000,Summer,0,0,0,0
SCG,2000,Summer,13,1,11,71
HUN,2000,Summer,4,24,25,201
CIV,2000,Summer,0,0,0,0
CYP,2000,Summer,0,0,0,0
KAZ,2000,Summer,0,4,3,27
KGZ,2000,Summer,1,0,0,1
BAN,2000,Summer,0,0,0,0
KSA,2000,Summer,1,1,0,4
QAT,2000,Summer,1,0,0,1
LIB,2000,Summer,0,0,0,0
OMA,2000,Summer,0,0,0,0
PLE,2000,Summer,0,0,0,0
YEM,2000,Summer,0,0,0,0
UAE,2000,Summer,0,0,0,0
ROU,2000,Summer,13,6,27,166
BLR,2000,Summer,11,8,3,50
TTO,2000,Summer,1,1,0,4
ISL,2000,Summer,1,0,0,1
NIG,2000,Summer,0,0,0,0
DJI,2000,Summer,0,0,0,0
SVK,2000,Summer,1,3,2,20
GUY,2000,Summer,0,0,0,0
JAM,2000,Summer,3,20,0,63
BAR,2000,Summer,1,0,0,1
VEN,2000,Summer,0,0,0,0
CHI,2000,Summer,17,0,0,17
IOA,2000,Summer,0,0,0,0
AUT,2000,Summer,0,1,3,18
INA,2000,Summer,2,4,2,24
BAH,2000,Summer,5,0,6,35
SMR,2000,Summer,0,0,0,0
MOZ,2000,Summer,0,0,1,5
POR,2000,Summer,2,0,0,2
CZE,2000,Summer,4,3,2,23
IND,2000,Summer,1,0,0,1
BUL,2000,Summer,2,6,5,45
BEL,2000,Summer,4,3,0,13
MLT,2000,Summer,0,0,0,0
LUX,2000,Summer,0,0,0,0
GBS,2000,Summer,0,0,0,0
TUN,2000,Summer,0,0,0,0
GEO,2000,Summer,6,0,0,6
SUI,2000,Summer,2,11,1,40
ERI,2000,Summer,0,0,0,0
TKM,2000,Summer,0,0,0,0
MAD,2000,Summer,0,0,0,0
MRI,2000,Summer,0,0,0,0
EST,2000,Summer,2,0,1,7
ISR,2000,Summer,1,0,0,1
ARM,2000,Summer,1,0,0,1
KEN,2000,Summer,2,3,2,21
MGL,2000,Summer,0,0,0,0
KOR,2000,Summer,35,26,12,173
GUI,2000,Summer,0,0,0,0
CGO,2000,Summer,0,0,0,0
POL,2000,Summer,7,10,7,72
VIN,2000,Summer,0,0,0,0
TOG,2000,Summer,0,0,0,0
ECU,2000,Summer,0,0,0,0
SEY,2000,Summer,0,0,0,0
URU,2000,Summer,0,1,0,3
GEQ,2000,Summer,0,0,0,0
ANT,2000,Summer,0,0,0,0
BOT,2000,Summer,0,0,0,0
SKN,2000,Summer,0,0,0,0
PAN,2000,Summer,0,0,0,0
COM,2000,Summer,0,0,0,0
TAN,2000,Summer,0,0,0,0
COL,2000,Summer,0,0,1,5
ISV,2000,Summer,0,0,0,0
SLE,2000,Summer,0,0,0,0
LAT,2000,Summer,1,1,1,9
AND,2000,Summer,0,0,0,0
MON,2000,Summer,0,0,0,0
SWZ,2000,Summer,0,0,0,0
ARU,2000,Summer,0,0,0,0
MDA,2000,Summer,1,1,0,4
ZIM,2000,Summer,0,0,0,0
CRC,2000,Summer,2,0,0,2
GUA,2000,Summer,0,0,0,0
NEP,2000,Summer,0,0,0,0
PNG,2000,Summer,0,0,0,0
MKD,2000,Summer,1,0,0,1
GAB,2000,Summer,0,0,0,0
SGP,2000,Summer,0,0,0,0
IRL,2000,Summer,0,1,0,3
PHI,2000,Summer,0,0,0,0
BER,2000,Summer,0,0,0,0
PUR,2000,Summer,0,0,0,0
ZAM,2000,Summer,0,0,0,0
DOM,2000,Summer,0,0,0,0
BOL,2000,Summer,0,0,0,0
MLI,2000,Summer,0,0,0,0
PAR,2000,Summer,0,0,0,0
HON,2000,Summer,0,0,0,0
PRK,2000,Summer,3,1,0,6
HKG,2000,Summer,0,0,0,0
TPE,2000,Summer,4,1,0,7
MYA,2000,Summer,0,0,0,0
MAW,2000,Summer,0,0,0,0
GUM,2000,Summer,0,0,0,0
BHU,2000,Summer,0,0,0,0
THA,2000,Summer,2,0,1,7
SEN,2000,Summer,0,0,0,0
HAI,2000,Summer,0,0,0,0
IVB,2000,Summer,0,0,0,0
CAF,2000,Summer,0,0,0,0
LBR,2000,Summer,0,0,0,0
NCA,2000,Summer,0,0,0,0
BEN,2000,Summer,0,0,0,0
AHO,2000,Summer,0,0,0,0
MTN,2000,Summer,0,0,0,0
ESA,2000,Summer,0,0,0,0
CPV,2000,Summer,0,0,0,0
TJK,2000,Summer,0,0,0,0
BIH,2000,Summer,0,0,0,0
GAM,2000,Summer,0,0,0,0
LIE,2000,Summer,0,0,0,0
NAM,2000,Summer,0,0,0,0
RWA,2000,Summer,0,0,0,0
STP,2000,Summer,0,0,0,0
BDI,2000,Summer,0,0,0,0
CAM,2000,Summer,0,0,0,0
LCA,2000,Summer,0,0,0,0
SOL,2000,Summer,0,0,0,0
GRN,2000,Summer,0,0,0,0
SAM,2000,Summer,0,0,0,0
BIZ,2000,Summer,0,0,0,0
COD,2000,Summer,0,0,0,0
VAN,2000,Summer,0,0,0,0
LES,2000,Summer,0,0,0,0
LAO,2000,Summer,0,0,0,0
TGA,2000,Summer,0,0,0,0
ALB,2000,Summer,0,0,0,0
VIE,2000,Summer,0,1,0,3
CAY,2000,Summer,0,0,0,0
FSM,2000,Summer,0,0,0,0
ASA,2000,Summer,0,0,0,0
CHA,2000,Summer,0,0,0,0
FIJ,2000,Summer,0,0,0,0
BUR,2000,Summer,0,0,0,0
NRU,2000,Summer,0,0,0,0
COK,2000,Summer,0,0,0,0
NOR,2004,Summer,2,0,5,27
EST,2004,Summer,2,1,0,5
BLR,2004,Summer,8,5,2,33
GRE,2004,Summer,5,18,8,99
AUS,2004,Summer,31,77,49,507
RUS,2004,Summer,95,46,48,473
FRA,2004,Summer,22,10,21,157
NCA,2004,Summer,0,0,0,0
IRQ,2004,Summer,0,0,0,0
QAT,2004,Summer,0,0,0,0
PAK,2004,Summer,0,0,0,0
EGY,2004,Summer,3,1,1,11
USA,2004,Summer,71,75,117,881
INA,2004,Summer,3,1,1,11
AZE,2004,Summer,4,0,1,9
UZB,2004,Summer,2,1,2,15
TJK,2004,Summer,0,0,0,0
KGZ,2004,Summer,0,0,0,0
JPN,2004,Summer,52,20,21,217
ESP,2004,Summer,9,17,4,80
TUR,2004,Summer,5,3,3,29
MLI,2004,Summer,0,0,0,0
BRA,2004,Summer,3,19,18,150
JOR,2004,Summer,0,0,0,0
SUD,2004,Summer,0,0,0,0
PLE,2004,Summer,0,0,0,0
LBA,2004,Summer,0,0,0,0
SOM,2004,Summer,0,0,0,0
MEX,2004,Summer,1,3,0,10
IND,2004,Summer,0,1,0,3
GBR,2004,Summer,15,25,17,175
GER,2004,Summer,63,45,41,403
NZL,2004,Summer,0,2,4,26
LTU,2004,Summer,0,2,1,11
NED,2004,Summer,22,51,4,195
UKR,2004,Summer,31,8,8,95
ETH,2004,Summer,2,3,2,21
ITA,2004,Summer,39,41,24,282
ALG,2004,Summer,0,0,0,0
ARM,2004,Summer,0,0,0,0
MLT,2004,Summer,0,0,0,0
CUB,2004,Summer,22,8,32,206
BIZ,2004,Summer,0,0,0,0
PUR,2004,Summer,0,0,0,0
MAR,2004,Summer,0,1,2,13
FIN,2004,Summer,0,2,0,6
CHN,2004,Summer,15,27,52,356
ARG,2004,Summer,21,0,28,161
BER,2004,Summer,0,0,0,0
KAZ,2004,Summer,3,4,1,20
UGA,2004,Summer,0,0,0,0
HUN,2004,Summer,4,12,24,160
SAM,2004,Summer,0,0,0,0
SWE,2004,Summer,2,5,5,42
CYP,2004,Summer,0,0,0,0
IRI,2004,Summer,2,2,2,18
BAN,2004,Summer,0,0,0,0
NGR,2004,Summer,8,0,0,8
SYR,2004,Summer,1,0,0,1
YEM,2004,Summer,0,0,0,0
KSA,2004,Summer,0,0,0,0
LIB,2004,Summer,0,0,0,0
KUW,2004,Summer,0,0,0,0
UAE,2004,Summer,0,0,1,5
BRN,2004,Summer,0,0,0,0
OMA,2004,Summer,0,0,0,0
BEN,2004,Summer,0,0,0,0
NIG,2004,Summer,0,0,0,0
BUL,2004,Summer,14,1,2,27
TTO,2004,Summer,1,0,0,1
CAN,2004,Summer,4,10,3,49
ISL,2004,Summer,0,0,0,0
CAF,2004,Summer,0,0,0,0
MDV,2004,Summer,0,0,0,0
SUI,2004,Summer,4,2,1,15
AUT,2004,Summer,1,4,3,28
JAM,2004,Summer,6,1,6,39
BAR,2004,Summer,0,0,0,0
CIV,2004,Summer,0,0,0,0
ANG,2004,Summer,0,0,0,0
POR,2004,Summer,1,2,0,7
VEN,2004,Summer,2,0,0,2
TLS,2004,Summer,0,0,0,0
NAM,2004,Summer,0,0,0,0
BAH,2004,Summer,1,0,1,6
SMR,2004,Summer,0,0,0,0
KOR,2004,Summer,10,28,14,164
BRU,2004,Summer,0,0,0,0
CRO,2004,Summer,3,3,15,87
DEN,2004,Summer,9,1,19,107
COL,2004,Summer,2,0,0,2
MAD,2004,Summer,0,0,0,0
CZE,2004,Summer,6,6,1,29
MGL,2004,Summer,1,0,0,1
GHA,2004,Summer,0,0,0,0
ROU,2004,Summer,11,5,23,141
LAO,2004,Summer,0,0,0,0
IRL,2004,Summer,0,0,0,0
GUA,2004,Summer,0,0,0,0
DOM,2004,Summer,0,0,1,5
CHI,2004,Summer,1,0,3,16
CRC,2004,Summer,0,0,0,0
ISR,2004,Summer,1,0,1,6
GEO,2004,Summer,0,2,2,16
ZIM,2004,Summer,1,1,1,9
GRN,2004,Summer,0,0,0,0
CMR,2004,Summer,0,0,1,5
SEY,2004,Summer,0,0,0,0
