Country,Year,Bronze,Silver,Gold,Points
POR,1988,0,0,1,5
POR,1992,0,0,0,0
POR,1996,2,0,1,7
POR,2000,2,0,0,2
POR,2004,1,2,0,7
POR,2008,0,1,1,8
POR,2012,0,2,0,6
POR,2016,1,0,0,1
PRK,1972,13,1,1,21
PRK,1976,0,1,1,8
PRK,1980,2,3,0,11
PRK,1992,6,0,4,26
PRK,1996,2,1,2,15
PRK,2000,3,1,0,6
PRK,2004,1,4,0,13
PRK,2008,3,1,2,16
PRK,2012,2,0,4,22
PRK,2016,2,3,2,21
PUR,1948,1,0,0,1
PUR,1952,0,0,0,0
PUR,1956,0,0,0,0
PUR,1960,0,0,0,0
PUR,1964,0,0,0,0
PUR,1968,0,0,0,0
PUR,1972,0,0,0,0
PUR,1976,1,0,0,1
PUR,1980,0,0,0,0
PUR,1984,1,1,0,4
PUR,1988,0,0,0,0
PUR,1992,1,0,0,1
PUR,1996,1,0,0,1
PUR,2000,0,0,0,0
PUR,2004,0,0,0,0
PUR,2008,0,0,0,0
PUR,2012,1,1,0,4
PUR,2016,0,0,1,5
QAT,1984,0,0,0,0
QAT,1988,0,0,0,0
QAT,1992,1,0,0,1
QAT,1996,0,0,0,0
QAT,2000,1,0,0,1
QAT,2004,0,0,0,0
QAT,2008,0,0,0,0
QAT,2012,2,0,0,2
QAT,2016,0,1,0,3
RHO,1960,0,0,0,0
ROT,2016,0,0,0,0
ROU,1900,0,0,0,0
ROU,1924,16,0,0,16
ROU,1928,0,0,0,0
ROU,1932,0,0,0,0
ROU,1936,0,1,0,3
ROU,1952,2,1,1,10
ROU,1956,10,3,6,49
ROU,1960,11,1,3,29
ROU,1964,10,4,2,32
ROU,1968,9,9,5,61
ROU,1972,27,10,3,72
ROU,1976,23,28,4,127
ROU,1980,46,15,7,126
ROU,1984,35,31,40,328
ROU,1988,16,34,8,158
ROU,1992,14,31,8,147
ROU,1996,15,10,13,110
ROU,2000,13,6,27,166
ROU,2004,11,5,23,141
ROU,2008,16,1,5,44
ROU,2012,6,8,2,40
ROU,2016,10,2,4,36
RSA,1904,0,0,0,0
RSA,1908,0,1,1,8
RSA,1912,0,2,5,31
RSA,1920,6,12,3,57
RSA,1924,1,1,1,9
RSA,1928,5,0,1,10
RSA,1932,3,0,2,13
RSA,1936,0,1,0,3
RSA,1948,2,2,2,18
RSA,1952,4,8,2,38
RSA,1956,7,0,0,7
RSA,1960,2,1,0,5
RSA,1992,0,3,0,9
RSA,1996,1,1,3,19
RSA,2000,3,2,0,9
RSA,2004,3,3,4,32
RSA,2008,0,1,0,3
RSA,2012,1,2,6,37
RSA,2016,14,7,2,45
RUS,1900,0,0,0,0
RUS,1908,0,2,1,11
RUS,1912,9,5,0,24
RUS,1924,0,0,0,0
RUS,1996,34,45,36,349
RUS,2000,54,67,66,585
RUS,2004,95,46,48,473
RUS,2008,53,46,43,406
RUS,2012,51,39,50,418
RUS,2016,35,28,52,379
RWA,1984,0,0,0,0
RWA,1988,0,0,0,0
RWA,1992,0,0,0,0
RWA,1996,0,0,0,0
RWA,2000,0,0,0,0
RWA,2004,0,0,0,0
RWA,2008,0,0,0,0
RWA,2012,0,0,0,0
RWA,2016,0,0,0,0
SAA,1952,0,0,0,0
SAM,1984,0,0,0,0
SAM,1988,0,0,0,0
SAM,1992,0,0,0,0
SAM,1996,0,0,0,0
SAM,2000,0,0,0,0
SAM,2004,0,0,0,0
SAM,2008,0,0,0,0
SAM,2012,0,0,0,0
SAM,2016,0,0,0,0
SCG,1996,13,12,1,54
SCG,2000,13,1,11,71
SCG,2004,0,13,0,39
SEN,1964,0,0,0,0
SEN,1968,0,0,0,0
SEN,1972,0,0,0,0
SEN,1976,0,0,0,0
SEN,1980,0,0,0,0
SEN,1984,0,0,0,0
SEN,1988,0,1,0,3
SEN,1992,0,0,0,0
SEN,1996,0,0,0,0
SEN,2000,0,0,0,0
SEN,2004,0,0,0,0
SEN,2008,0,0,0,0
SEN,2012,0,0,0,0
SEN,2016,0,0,0,0
SEY,1980,0,0,0,0
SEY,1984,0,0,0,0
SEY,1992,0,0,0,0
SEY,1996,0,0,0,0
SEY,2000,0,0,0,0
SEY,2004,0,0,0,0
SEY,2008,0,0,0,0
SEY,2012,0,0,0,0
SEY,2016,0,0,0,0
SGP,1948,0,0,0,0
SGP,1952,0,0,0,0
SGP,1956,0,0,0,0
SGP,1960,0,1,0,3
SGP,1968,0,0,0,0
SGP,1972,0,0,0,0
SGP,1976,0,0,0,0
SGP,1984,0,0,0,0
SGP,1988,0,0,0,0
SGP,1992,0,0,0,0
SGP,1996,0,0,0,0
SGP,2000,0,0,0,0
SGP,2004,0,0,0,0
SGP,2008,0,3,0,9
SGP,2012,4,0,0,4
SGP,2016,0,0,1,5
SKN,1996,0,0,0,0
SKN,2000,0,0,0,0
SKN,2004,0,0,0,0
SKN,2008,0,0,0,0
SKN,2012,0,0,0,0
SKN,2016,0,0,0,0
SLE,1968,0,0,0,0
SLE,1980,0,0,0,0
SLE,1984,0,0,0,0
SLE,1988,0,0,0,0
SLE,1992,0,0,0,0
SLE,1996,0,0,0,0
SLE,2000,0,0,0,0
SLE,2004,0,0,0,0
SLE,2008,0,0,0,0
SLE,2012,0,0,0,0
SLE,2016,0,0,0,0
SLO,1992,6,0,0,6
SLO,1996,0,2,0,6
SLO,2000,0,0,3,15
SLO,2004,3,2,0,9
SLO,2008,2,2,1,13
SLO,2012,3,1,1,11
SLO,2016,1,2,1,12
SMR,1960,0,0,0,0
SMR,1968,0,0,0,0
SMR,1972,0,0,0,0
SMR,1976,0,0,0,0
SMR,1980,0,0,0,0
SMR,1984,0,0,0,0
SMR,1988,0,0,0,0
SMR,1992,0,0,0,0
SMR,1996,0,0,0,0
SMR,2000,0,0,0,0
SMR,2004,0,0,0,0
SMR,2008,0,0,0,0
SMR,2012,0,0,0,0
SMR,2016,0,0,0,0
SOL,1984,0,0,0,0
SOL,1988,0,0,0,0
SOL,1992,0,0,0,0
SOL,1996,0,0,0,0
SOL,2000,0,0,0,0
SOL,2004,0,0,0,0
SOL,2008,0,0,0,0
SOL,2012,0,0,0,0
SOL,2016,0,0,0,0
SOM,1972,0,0,0,0
SOM,1984,0,0,0,0
SOM,1988,0,0,0,0
SOM,1996,0,0,0,0
SOM,2000,0,0,0,0
SOM,2004,0,0,0,0
SOM,2008,0,0,0,0
SOM,2012,0,0,0,0
SOM,2016,0,0,0,0
SRB,1912,0,0,0,0
SRB,2008,14,1,0,17
SRB,2012,14,1,1,22
SRB,2016,13,27,14,164
SRI,1948,0,1,0,3
SRI,1952,0,0,0,0
SRI,1956,0,0,0,0
SRI,1960,0,0,0,0
SRI,1964,0,0,0,0
SRI,1968,0,0,0,0
SRI,1972,0,0,0,0
SRI,1980,0,0,0,0
SRI,1984,0,0,0,0
SRI,1988,0,0,0,0
SRI,1992,0,0,0,0
SRI,1996,0,0,0,0
SRI,2000,0,1,0,3
SRI,2004,0,0,0,0
SRI,2008,0,0,0,0
SRI,2012,0,0,0,0
SRI,2016,0,0,0,0
SSD,2016,0,0,0,0
STP,1996,0,0,0,0
STP,2000,0,0,0,0
STP,2004,0,0,0,0
STP,2008,0,0,0,0
STP,2012,0,0,0,0
STP,2016,0,0,0,0
SUD,1960,0,0,0,0
SUD,1968,0,0,0,0
SUD,1972,0,0,0,0
SUD,1984,0,0,0,0
SUD,1988,0,0,0,0
SUD,1992,0,0,0,0
SUD,1996,0,0,0,0
SUD,2000,0,0,0,0
SUD,2004,0,0,0,0
SUD,2008,0,1,0,3
SUD,2012,0,0,0,0
SUD,2016,0,0,0,0
SUI,1896,0,2,1,11
SUI,1900,1,4,16,93
SUI,1904,2,0,1,7
SUI,1906,1,3,8,50
SUI,1908,0,0,0,0
SUI,1912,0,0,2,10
SUI,1920,21,2,6,57
SUI,1924,21,25,14,166
SUI,1928,4,10,16,114
SUI,1932,0,1,0,3
SUI,1936,24,23,5,118
SUI,1948,6,25,5,106
SUI,1952,12,19,2,79
SUI,1956,3,0,0,3
SUI,1960,6,6,0,24
SUI,1964,1,4,1,18
SUI,1968,10,3,0,19
SUI,1972,0,8,0,24
SUI,1976,6,3,1,20
SUI,1980,0,0,2,10
SUI,1984,4,9,0,31
SUI,1988,2,6,0,20
SUI,1992,0,0,1,5
SUI,1996,0,6,5,43
SUI,2000,2,11,1,40
SUI,2004,4,2,1,15
SUI,2008,7,1,3,25
SUI,2012,0,2,2,16
SUI,2016,2,3,6,41
SUR,1968,0,0,0,0
SUR,1972,0,0,0,0
SUR,1976,0,0,0,0
SUR,1984,0,0,0,0
SUR,1988,0,0,1,5
SUR,1992,1,0,0,1
SUR,1996,0,0,0,0
SUR,2000,0,0,0,0
SUR,2004,0,0,0,0
SUR,2008,0,0,0,0
SUR,2012,0,0,0,0
SUR,2016,0,0,0,0
SVK,1996,1,1,1,9
SVK,2000,1,3,2,20
SVK,2004,5,2,3,26
SVK,2008,1,5,4,36
SVK,2012,4,1,0,7
SVK,2016,0,5,3,30
SWE,1896,0,0,0,0
SWE,1900,1,0,3,16
SWE,1906,14,5,2,39
SWE,1908,18,18,48,312
SWE,1912,25,62,103,726
SWE,1920,64,38,52,438
SWE,1924,43,22,7,144
SWE,1928,22,8,7,81
SWE,1932,12,7,13,98
SWE,1936,17,11,7,85
SWE,1948,30,15,30,225
SWE,1952,23,24,23,210
SWE,1956,6,14,14,118
SWE,1960,3,2,2,19
SWE,1964,8,4,3,35
SWE,1968,1,4,4,33
SWE,1972,8,10,4,58
SWE,1976,0,1,9,48
SWE,1980,9,8,3,48
SWE,1984,13,18,3,82
SWE,1988,11,5,0,26
SWE,1992,7,27,1,93
SWE,1996,5,23,3,89
SWE,2000,8,20,4,88
SWE,2004,2,5,5,42
SWE,2008,2,5,0,17
SWE,2012,3,17,2,64
SWE,2016,3,23,2,82
SWZ,1972,0,0,0,0
SWZ,1984,0,0,0,0
SWZ,1988,0,0,0,0
SWZ,1992,0,0,0,0
SWZ,1996,0,0,0,0
SWZ,2000,0,0,0,0
SWZ,2004,0,0,0,0
SWZ,2008,0,0,0,0
SWZ,2012,0,0,0,0
SWZ,2016,0,0,0,0
SYR,1948,0,0,0,0
SYR,1968,0,0,0,0
SYR,1972,0,0,0,0
SYR,1980,0,0,0,0
SYR,1984,0,1,0,3
SYR,1988,0,0,0,0
SYR,1992,0,0,0,0
SYR,1996,0,0,1,5
SYR,2000,0,0,0,0
SYR,2004,1,0,0,1
SYR,2008,0,0,0,0
SYR,2012,0,0,0,0
SYR,2016,0,0,0,0
TAN,1964,0,0,0,0
TAN,1968,0,0,0,0
TAN,1972,0,0,0,0
TAN,1980,0,2,0,6
TAN,1984,0,0,0,0
TAN,1988,0,0,0,0
TAN,1992,0,0,0,0
TAN,1996,0,0,0,0
TAN,2000,0,0,0,0
TAN,2004,0,0,0,0
TAN,2008,0,0,0,0
TAN,2012,0,0,0,0
TAN,2016,0,0,0,0
TCH,1920,10,0,0,10
TCH,1924,5,4,1,22
TCH,1928,2,12,2,48
TCH,1932,2,3,1,16
TCH,1936,1,12,5,62
TCH,1948,3,3,14,82
TCH,1952,10,4,11,77
TCH,1956,1,5,1,21
TCH,1960,11,7,4,52
TCH,1964,12,37,5,148
TCH,1968,15,7,7,71
TCH,1972,6,21,2,79
TCH,1976,9,4,2,31
TCH,1980,16,18,17,155
TCH,1988,3,4,3,30
TCH,1992,1,3,4,30
TGA,1984,0,0,0,0
TGA,1988,0,0,0,0
TGA,1992,0,0,0,0
TGA,1996,0,1,0,3
TGA,2000,0,0,0,0
TGA,2004,0,0,0,0
TGA,2008,0,0,0,0
TGA,2012,0,0,0,0
TGA,2016,0,0,0,0
THA,1952,0,0,0,0
THA,1956,0,0,0,0
THA,1960,0,0,0,0
THA,1964,0,0,0,0
THA,1968,0,0,0,0
THA,1972,0,0,0,0
THA,1976,1,0,0,1
THA,1984,0,1,0,3
THA,1988,1,0,0,1
THA,1992,1,0,0,1
THA,1996,1,0,1,6
THA,2000,2,0,1,7
THA,2004,4,1,3,22
THA,2008,0,2,2,16
THA,2012,1,2,0,7
THA,2016,2,2,2,18
TJK,1996,0,0,0,0
TJK,2000,0,0,0,0
TJK,2004,0,0,0,0
TJK,2008,1,1,0,4
TJK,2012,1,0,0,1
TJK,2016,0,0,1,5
TKM,1996,0,0,0,0
TKM,2000,0,0,0,0
TKM,2004,0,0,0,0
TKM,2008,0,0,0,0
TKM,2012,0,0,0,0
TKM,2016,0,0,0,0
TLS,2004,0,0,0,0
TLS,2008,0,0,0,0
TLS,2012,0,0,0,0
TLS,2016,0,0,0,0
TOG,1972,0,0,0,0
TOG,1984,0,0,0,0
TOG,1988,0,0,0,0
TOG,1992,0,0,0,0
TOG,1996,0,0,0,0
TOG,2000,0,0,0,0
TOG,2004,0,0,0,0
TOG,2008,1,0,0,1
TOG,2012,0,0,0,0
TOG,2016,0,0,0,0
TPE,1956,0,0,0,0
TPE,1960,0,1,0,3
TPE,1964,0,0,0,0
TPE,1968,1,0,0,1
TPE,1972,0,0,0,0
TPE,1984,1,0,0,1
TPE,1988,0,0,0,0
TPE,1992,0,20,0,60
TPE,1996,0,1,0,3
TPE,2000,4,1,0,7
TPE,2004,3,4,2,25
TPE,2008,4,0,0,4
TPE,2012,1,1,0,4
TPE,2016,4,0,1,9
TTO,1948,0,1,0,3
TTO,1952,2,0,0,2
TTO,1956,0,0,0,0
TTO,1964,5,1,0,8
TTO,1968,0,0,0,0
TTO,1972,0,0,0,0
TTO,1976,0,0,1,5
TTO,1980,0,0,0,0
TTO,1984,0,0,0,0
TTO,1988,0,0,0,0
TTO,1992,0,0,0,0
TTO,1996,2,0,0,2
TTO,2000,1,1,0,4
TTO,2004,1,0,0,1
TTO,2008,0,1,5,28
TTO,2012,5,4,1,22
TTO,2016,1,0,0,1
TUN,1960,0,0,0,0
TUN,1964,1,1,0,4
TUN,1968,1,0,1,6
TUN,1972,0,1,0,3
TUN,1976,0,0,0,0
TUN,1984,0,0,0,0
TUN,1988,0,0,0,0
TUN,1992,0,0,0,0
TUN,1996,1,0,0,1
TUN,2000,0,0,0,0
TUN,2004,0,0,0,0
TUN,2008,0,0,1,5
TUN,2012,1,1,1,9
TUN,2016,3,0,0,3
TUR,1906,0,0,0,0
TUR,1912,0,0,0,0
TUR,1924,0,0,0,0
TUR,1928,0,0,0,0
TUR,1932,0,0,0,0
TUR,1936,1,0,1,6
TUR,1948,2,4,6,44
TUR,1952,1,0,2,11
TUR,1956,2,2,3,23
TUR,1960,0,2,7,41
TUR,1964,1,3,2,20
TUR,1968,0,0,2,10
TUR,1972,0,1,0,3
TUR,1976,0,0,0,0
TUR,1984,3,0,0,3
TUR,1988,0,1,1,8
TUR,1992,2,2,2,18
TUR,1996,1,1,4,24
TUR,2000,2,0,3,17
TUR,2004,5,3,3,29
TUR,2008,3,3,1,17
TUR,2012,1,2,2,17
TUR,2016,4,3,1,18
TUV,2008,0,0,0,0
TUV,2012,0,0,0,0
TUV,2016,0,0,0,0
UAE,1984,0,0,0,0
UAE,1988,0,0,0,0
UAE,1992,0,0,0,0
UAE,1996,0,0,0,0
UAE,2000,0,0,0,0
UAE,2004,0,0,1,5
UAE,2008,0,0,0,0
UAE,2012,0,0,0,0
UAE,2016,1,0,0,1
UAR,1960,1,1,0,4
UGA,1956,0,0,0,0
UGA,1960,0,0,0,0
UGA,1964,0,0,0,0
UGA,1968,1,1,0,4
UGA,1972,0,1,1,8
UGA,1980,0,1,0,3
UGA,1984,0,0,0,0
UGA,1988,0,0,0,0
UGA,1992,0,0,0,0
UGA,1996,1,0,0,1
UGA,2000,0,0,0,0
UGA,2004,0,0,0,0
UGA,2008,0,0,0,0
UGA,2012,0,0,1,5
UGA,2016,0,0,0,0
UKR,1996,19,5,10,84
UKR,2000,12,20,3,87
UKR,2004,31,8,8,95
UKR,2008,16,5,10,81
UKR,2012,12,5,9,72
UKR,2016,5,8,2,39
UNK,1912,0,0,0,0
URS,1952,19,62,36,385
URS,1956,55,46,68,533
URS,1960,45,63,61,539
URS,1964,51,63,60,540
URS,1968,64,63,65,578
URS,1972,60,47,107,736
URS,1976,77,95,114,932
URS,1980,126,129,187,1448
URS,1988,99,67,134,970
URU,1924,0,0,14,70
URU,1928,0,0,17,85
URU,1932,1,0,0,1
URU,1936,0,0,0,0
URU,1948,2,1,0,5
URU,1952,14,0,0,14
URU,1956,12,0,0,12
URU,1960,0,0,0,0
URU,1964,1,0,0,1
URU,1968,0,0,0,0
URU,1972,0,0,0,0
URU,1976,0,0,0,0
URU,1984,0,0,0,0
URU,1988,0,0,0,0
URU,1992,0,0,0,0
URU,1996,0,0,0,0
URU,2000,0,1,0,3
URU,2004,0,0,0,0
URU,2008,0,0,0,0
URU,2012,0,0,0,0
URU,2016,0,0,0,0
USA,1896,2,7,11,78
USA,1900,17,16,30,215
USA,1904,125,141,128,1188
USA,1906,6,6,12,84
USA,1908,15,16,34,233
USA,1912,36,25,46,341
USA,1920,38,45,111,728
USA,1924,49,36,97,642
USA,1928,17,24,47,324
USA,1932,61,47,81,607
USA,1936,16,29,51,358
USA,1948,35,30,87,560
USA,1952,28,23,83,512
USA,1956,20,42,61,451
USA,1960,21,23,81,495
USA,1964,37,37,95,623
USA,1968,35,32,99,626
USA,1972,43,59,69,565
USA,1976,36,58,70,560
USA,1984,50,116,186,1328
USA,1988,54,66,87,687
USA,1992,85,50,89,680
USA,1996,52,48,159,991
USA,2000,51,61,130,884
USA,2004,71,75,117,881
USA,2008,80,110,127,1045
USA,2012,46,57,145,942
USA,2016,71,54,139,928
UZB,1996,1,1,0,4
UZB,2000,2,1,1,10
UZB,2004,2,1,2,15
UZB,2008,3,2,1,14
UZB,2012,2,0,1,7
UZB,2016,7,2,4,33
VAN,1988,0,0,0,0
VAN,1992,0,0,0,0
VAN,1996,0,0,0,0
VAN,2000,0,0,0,0
VAN,2004,0,0,0,0
VAN,2008,0,0,0,0
VAN,2012,0,0,0,0
VAN,2016,0,0,0,0
VEN,1932,0,0,0,0
VEN,1948,0,0,0,0
VEN,1952,1,0,0,1
VEN,1956,0,0,0,0
VEN,1960,1,0,0,1
VEN,1964,0,0,0,0
VEN,1968,0,0,1,5
VEN,1972,0,0,0,0
VEN,1976,0,1,0,3
VEN,1980,0,1,0,3
VEN,1984,3,0,0,3
VEN,1988,0,0,0,0
VEN,1992,0,0,0,0
VEN,1996,0,0,0,0
VEN,2000,0,0,0,0
VEN,2004,2,0,0,2
VEN,2008,1,0,0,1
VEN,2012,0,0,1,5
VEN,2016,2,1,0,5
VIE,1980,0,0,0,0
VIE,1988,0,0,0,0
VIE,1992,0,0,0,0
VIE,1996,0,0,0,0
VIE,2000,0,1,0,3
VIE,2004,0,0,0,0
VIE,2008,0,1,0,3
VIE,2012,0,0,0,0
VIE,2016,0,1,1,8
VIN,1988,0,0,0,0
VIN,1992,0,0,0,0
VIN,1996,0,0,0,0
VIN,2000,0,0,0,0
VIN,2004,0,0,0,0
VIN,2008,0,0,0,0
VIN,2012,0,0,0,0
VIN,2016,0,0,0,0
VNM,1952,0,0,0,0
VNM,1956,0,0,0,0
VNM,1960,0,0,0,0
VNM,1964,0,0,0,0
VNM,1968,0,0,0,0
VNM,1972,0,0,0,0
WIF,1960,5,0,0,5
YAR,1984,0,0,0,0
YAR,1988,0,0,0,0
YEM,1992,0,0,0,0
YEM,1996,0,0,0,0
YEM,2000,0,0,0,0
YEM,2004,0,0,0,0
YEM,2008,0,0,0,0
YEM,2012,0,0,0,0
YEM,2016,0,0,0,0
YMD,1988,0,0,0,0
YUG,1920,0,0,0,0
YUG,1924,0,0,2,10
YUG,1928,10,1,1,18
YUG,1932,0,0,0,0
YUG,1936,0,1,0,3
YUG,1948,0,16,0,48
YUG,1952,0,20,4,80
YUG,1956,0,23,0,69
YUG,1960,0,1,16,83
YUG,1964,2,11,2,45
YUG,1968,2,14,13,109
YUG,1972,2,1,15,80
YUG,1976,3,14,2,55
YUG,1980,17,27,13,163
YUG,1984,35,5,47,285
YUG,1988,21,27,15,177
ZAM,1964,0,0,0,0
ZAM,1968,0,0,0,0
ZAM,1972,0,0,0,0
ZAM,1980,0,0,0,0
ZAM,1984,1,0,0,1
ZAM,1988,0,0,0,0
ZAM,1992,0,0,0,0
ZAM,1996,0,1,0,3
ZAM,2000,0,0,0,0
ZAM,2004,0,0,0,0
ZAM,2008,0,0,0,0
ZAM,2012,0,0,0,0
ZAM,2016,0,0,0,0
ZIM,1928,0,0,0,0
ZIM,1960,0,0,0,0
ZIM,1964,0,0,0,0
ZIM,1980,0,0,15,75
ZIM,1984,0,0,0,0
ZIM,1988,0,0,0,0
ZIM,1992,0,0,0,0
ZIM,1996,0,0,0,0
ZIM,2000,0,0,0,0
ZIM,2004,1,1,1,9
ZIM,2008,0,3,1,14
ZIM,2012,0,0,0,0
ZIM,2016,0,0,0,0